The user wants me to answer 60 technical questions covering JavaScript/TypeScript, Bash, and PowerShell.
I need to act as a senior infrastructure and software engineer.
The answers must be labeled with the question ID (e.g., JS1, B5, PS12).
I need to be thorough but concise.

**Plan:**
1.  **JavaScript/TypeScript (20 questions):**
*   **PS11:** Module: reusable code. Script (.psm1), Manifest (.psd1), Binary (.dll). `Import-Module`.
*   **PS12:** Interpolation: `"Value is $var"`. Here-string: `@"..."@`.
*   **PS13:** `Get-Member` shows object structure. `Select-Object` selects props. `Where-Object` filters.
*   **PS14:** Classes in PS5. C# inheritance limitations (no multiple inheritance, no interfaces). Use for complex logic.
*   **PS15:** `[CmdletBinding()]` enables common parameters (Verbose, Debug). `SupportsShouldProcess` for Confirm/WhatIf. `Begin/Process/End`.
*   **PS16:** Providers: `Get-ChildItem` works on Registry, Env, etc. Registry: `HKLM:\Software`.
*   **PS17:** Runspaces: isolated threads. `[powershell]` object. `ForEach-Object -Parallel` (v7) is easier.
*   **PS18:** PSScriptAnalyzer: static analysis. Rules, severity. Suppress with `# PSRule: <Name>`.
*   **PS19:** `$using:` for remote scope. Serialization limits (CLIXML). Complex objects might fail.
*   **PS20:** DSC: declarative config. Resources, LCM. PS7+: JSON-based DSC (JSON DSC). Replaced by Desired State Configuration (JSON) or Pester/Ansible in modern IaC.

Refining the answers to be "thorough but concise".

*   **JS7:** Explicit Call (Function call), New (Constructor), Implicit Object (Method), Implicit Global (Global scope). `bind` returns a new function, so yes, you can re-bind it.
*   **JS9:** Hidden classes are internal structures V8 uses to optimize property access. Inline caching stores the hidden class of the object to avoid lookup. Deoptimization happens when the object's hidden class changes (e.g., adding properties out of order), causing the engine to fall back to slower property access.
*   **JS18:** Structural typing means type compatibility is based on shape, not explicit inheritance. Excess property checks apply when assigning a literal object to a variable expecting an interface (e.g., `{a:1, b:2}` to `interface {a:1}`). `satisfies` checks type but preserves literal types. Variance: `in` (covariant, e.g., `T[]`), `out` (contravariant, e.g., `I[]` where `I` is interface).
*   **B7:** `cmd > file 2>&1` redirects stdout to `file` and stderr to stdout (which is now `file`). `cmd 2>&1 > file` redirects stderr to the current stdout (terminal) and stdout to `file`. The first two produce different results because the order of redirections matters; the second redirects stderr to the terminal before stdout is redirected to the file.
*   **B8:** `mkdir` is atomic, making it safe for locking. A file-based lock requires checking existence and writing, which is not atomic. The function should use `mkdir -p` to create the lock directory, set a trap to remove it on exit, and check if it already exists to handle race conditions.
*   **PS7:** The function returns an array `@("one")`. `$x.GetType().Name` is `Object[]`. When returning 0 items, it returns an empty array `@()`. The correct pattern is to always return an array (e.g., `@($result)` or just `$result` if it's already an array) to ensure consistent behavior in pipelines.
*   **PS20:** DSC is declarative. Configs define state, Resources implement it, LCM applies it. In PS7+, JSON-based DSC (JSON DSC) is the modern standard, replacing the old MOF-based DSC. Modern IaC tools like Terraform, Ansible, or Pulumi have largely replaced DSC for complex infrastructure.

Let's double check the question IDs and ensure all 60 are covered.

JS1-JS20
B1-B20
PS1-PS20

Looks good. I will format the output clearly.</think>## JavaScript / TypeScript

**JS1 — Easy:** `var` is function-scoped and hoisted (initialized as `undefined`), while `let` and `const` are block-scoped. `const` cannot be reassigned. **Hoisting** is the JavaScript engine's behavior of moving variable and function declarations to the top of their scope during the compilation phase, though only the declaration is moved, not the initialization.

**JS2 — Easy:** The **event loop** manages asynchronous operations. The **call stack** executes code synchronously. When the stack is empty, the event loop checks the **microtask queue** (Promises, queueMicrotask) and executes them before moving to the **macrotask queue** (setTimeout, I/O, setInterval). This ensures microtasks are processed before the next macrotask.

**JS3 — Medium:** A **closure** is a function that retains access to variables from its outer (lexical) scope even after the outer function has finished executing. **Example:** A counter function that increments a variable. **Bug:** In a `for` loop using `var`, all closures capture the same variable reference, resulting in all functions returning the final value. **Fix:** Use `let` (block-scoped) or an IIFE to create a new scope for each iteration.

**JS4 — Medium:** **Promise** is an object representing the eventual completion/failure of an async operation. **async/await** is syntactic sugar over Promises, allowing asynchronous code to look synchronous. Error handling: `try/catch` works with `async/await`; `.catch()` works with Promises. **Promise.all** fails fast if any promise rejects. **Promise.allSettled** waits for all promises to settle (fulfill or reject) and returns results for each.

**JS5 — Medium:** **Interface** defines a shape that an object must conform to (structural typing). **Type** can be primitives, unions, intersections, or mapped types. Use `interface` for defining object shapes and `type` for complex types like unions. **Discriminated unions** use a common property (discriminator) to narrow the type of an object within a union (e.g., `type Shape = { kind: 'circle'; radius: number } | { kind: 'square'; side: number }`).

**JS6 — Medium:** JavaScript uses **prototypal inheritance** where objects inherit directly from other objects. `Object.create(proto)` creates a new object with a specified prototype. **ES6 classes** are syntactic sugar over prototypes, providing a cleaner syntax for defining constructors and methods, but they still rely on the prototype chain under the hood.

**JS7 — Hard:** **`this`** binding rules (priority order): 1. **New binding**: Called with `new`. 2. **Explicit binding**: Called with `.call()`, `.apply()`, or `.bind()`. 3. **Implicit binding**: Called as a method of an object. 4. **Default binding**: Global or `undefined` in strict mode. **`bind()`** returns a *new* function, so it can be re-bound.

**JS8 — Hard:** **WeakRef** allows an object to be garbage collected even if a weak reference to it exists. **FinalizationRegistry** allows you to register a callback to run when an object is garbage collected. **WeakMap** keys must be objects because they are weakly held; primitive keys would prevent garbage collection. This allows for memory-efficient caching without preventing cleanup.

**JS9 — Hard:** V8 optimizes JS by using **hidden classes** (internal structures that track object shapes) and **inline caching** (storing the hidden class of an object to speed up property access). **Deoptimization** occurs when the engine detects that assumptions about the object's structure (e.g., adding properties out of order) are violated, forcing it to fall back to slower property access. Coding patterns like adding properties dynamically or using `delete` can trigger this.

**JS10 — Medium:** **Tree-shaking** removes unused code (dead code elimination) at build time. It works effectively with **ES Modules** because they are static (imports/exports are known at compile time). **CommonJS** is dynamic (requiring modules at runtime), making it impossible for static analysis tools to determine which code is actually used, thus preventing effective tree-shaking.

**JS11 — Easy:** `null` is an object, `undefined` is a primitive. `==` performs type coercion, `===` does not. `??` (nullish coalescing) returns the right side only if the left is `null` or `undefined`. `?.` (optional chaining) safely accesses nested properties, returning `undefined` if the intermediate value is null/undefined.

**JS12 — Easy:** `map()` transforms every element, `filter()` keeps elements based on a condition, and `reduce()` combines elements into a single value (accumulator). `reduce()` requires an initial value if the array is empty. `flatMap()` maps and then flattens the result one level deep, useful for transforming arrays of arrays.

**JS13 — Easy:** **Template literals** use backticks and allow expressions via `${}`. **Tagged templates** parse the string parts as arguments to a function. **Example:** A function `html` that escapes input: `html`<tag>${userInput}</tag>``.

**JS14 — Easy:** **Destructuring** extracts values from arrays/objects. **Object:** `const {a} = obj`. **Array:** `const [a] = arr`. **Defaults:** `const {a=1} = obj`. **Renaming:** `const {a: b} = obj`. **Rest operator:** `const {a, ...rest} = obj` collects remaining properties.

**JS15 — Easy:** `for...in` iterates over **enumerable string keys** (including prototype keys). `for...of` iterates over **values** of an iterable. You should avoid `for...in` on arrays because it iterates over indices and prototype properties, and it is not ordered in older JS engines.

**JS16 — Medium:** **Generics** (`<T>`) allow writing reusable code that works with different types. **Constraints** (`T extends Interface`) restrict T. **Conditional types** (`T extends U ? X : Y`) select types based on conditions. **Infer** (`infer K`) extracts a type from a generic (e.g., `ReturnType`). **Example:** `function identity(arg: T): T { ... }`.

**JS17 — Medium:** **CommonJS** uses `require` (synchronous) and `module.exports`. **ES Modules** use `import`/`export` (asynchronous/deferred). Node.js handles both, but `type: "module"` in `package.json` forces ES Module behavior, disabling CommonJS syntax.

**JS18 — Hard:** **Structural typing** means compatibility is based on shape, not explicit inheritance. **Excess property checks** occur when assigning a literal object to a variable expecting an interface (e.g., `{a:1, b:2}` to `interface {a:1}`) to prevent accidental typos. **`satisfies`** checks type but preserves literal types. **Variance** (`in`, `out`) in TS 4.7+ controls how generic types behave in contravariant/covariant positions (e.g., `Array` is invariant, `ReadonlyArray` is covariant).

**JS19 — Hard:** **Proxy** intercepts operations (get, set, apply) on an object. **Reflect** provides the default behavior for those operations. **Example:** A validation proxy that throws an error if a property is set to an invalid value. **Example:** A reactive proxy that notifies subscribers on change.

**JS20 — Hard:** **SharedArrayBuffer** allows multiple Web Workers to access the same memory without copying. **Atomics** provides atomic operations and synchronization (wait/notify). **Web Workers** communicate via messages or shared memory. **Ordering guarantees** ensure visibility of writes. **Atomics.wait/notify** allows workers to sleep until a value changes, enabling efficient coordination.

## Bash

**B1 — Easy:** `$@` expands to separate arguments, preserving quoting. `$*` expands to a single string of all arguments separated by the first character of `IFS`. `"$@"` is safe for loops (preserves spaces), while `"$*"` joins them.

**B2 — Easy:** `set -e` exits immediately if a command fails. `set -u` exits if an undefined variable is used. `set -o pipefail` causes a pipeline to fail if any command in the pipeline fails (instead of only the last one).

**B3 — Medium:** `$(command)` is command substitution (preferred). `` `command` `` is the older backtick syntax. `$((expression))` is arithmetic expansion. `expr` is an external command for arithmetic/strings (slower than `$((...))`).

**B4 — Medium:** **Process substitution** (`<(command)`) creates a temporary named pipe or file descriptor representing the command's output. **Example:** `diff <(sort file1.txt) <(sort file2.txt)` compares the sorted outputs of two files without creating intermediate files.

**B5 — Medium:** Use `for f in *` or `find . -print0 | while IFS= read -r -d '' f; do ... done`. `for f in $(ls)` is dangerous because it splits on whitespace/newlines, breaking filenames with spaces or special characters.

**B6 — Medium:** **Here document** (`<<EOF`) passes a multi-line string to a command. **Here string** (`<<<`) passes a single-line string to a command. `<<-EOF` strips leading tabs from the content, allowing indentation.

**B7 — Hard:** `cmd > file 2>&1` redirects stdout to `file` and stderr to stdout (which is now `file`). `cmd 2>&1 > file` redirects stderr to the current stdout (terminal) and stdout to `file`. The first two produce different results because the order of redirections matters; the second redirects stderr to the terminal before stdout is redirected to the file.

**B8 — Hard:** A function using `mkdir -p /tmp/lock` and `trap "rm -rf /tmp/lock" EXIT`. It should check if the lock directory exists to handle race conditions. **`mkdir` is preferred** because creating a directory is an atomic operation, whereas creating a file requires checking existence and writing, which is not atomic.

**B9 — Easy:** **Single quotes** (`'...'`) treat everything literally. **Double quotes** (`"..."`) allow variable expansion and command substitution. **No quotes** allow word splitting and globbing (wildcards).

**B10 — Easy:** `[ -f file ]` checks if file exists and is a regular file. `[[ -f file ]]` is the extended test command; it supports regex matching (`=~`) and logical operators (`&&`, `||`) without escaping.

**B11 — Easy:** `$?` is the exit status of the last command. `$$` is the PID of the current shell. `$!` is the PID of the last background job. `$#` is the number of positional parameters passed to the script.

**B12 — Easy:** Functions can be defined as `function foo {}` or `foo() {}`. The difference is syntactic. Functions return exit codes (0-255). To return strings, use `echo` or write to a global variable.

**B13 — Easy:** **PATH** is a list of directories where bash looks for commands. **Builtin commands** (like `cd`, `echo`) are part of the shell itself. **External commands** are separate binaries. Use `type command` to check which one is being used.

**B14 — Medium:** **`trap`** sets a command to run when a signal is received. Handlers can be set for `EXIT`, `ERR`, `INT` (Ctrl+C), and `TERM`. **Execution order:** Signals are handled immediately. `EXIT` runs when the shell exits, regardless of how it exited (unless killed by SIGKILL).

**B15 — Medium:** `xargs` builds and executes command lines efficiently. `$(...)` is slower for many arguments. `xargs -0` handles null-terminated strings (used with `find -print0`). `xargs -P` runs commands in parallel.

**B16 — Medium:** **Arrays:** `arr=(a b c)`. **Associative arrays:** `declare -A map=(["key"]=value)`. Iterate using loops. Associative arrays require `declare -A` and are not ordered (though sorted in newer bash).

**B17 — Hard:** **Subshell** `(...)` runs in a separate process. Variables set inside are local to that process and lost after. **Group command** `{ ...; }` runs in the current shell. **Piping into a while loop** creates a subshell for the loop, so variable changes inside are lost.

**B18 — Hard:** **SIGINT** (Ctrl+C), **SIGTERM** (kill, graceful), **SIGHUP** (logout), **SIGKILL** (cannot be caught). **Graceful shutdown:** Trap `SIGTERM`, kill child processes, wait for them, then exit.

**B19 — Hard:** Script: `split -l 1000 log.txt`, `xargs -P 4 -I {} ./process.sh {}`, then merge. **Performance:** Parallelism speeds up processing but adds overhead and complexity. **Error propagation:** Check exit codes of parallel jobs and aggregate errors.

**B20 — Hard:** **`exec`** replaces the current shell process with the specified command. It is used for file descriptor manipulation (e.g., `exec 3>file`, `exec 3>&-`). **Coprocess** (`coproc`) creates a background process with a pipe to/from the current shell, allowing bidirectional communication.

## PowerShell

**PS1 — Easy:** **`Write-Output`** adds objects to the pipeline. **`Write-Host`** writes directly to the console host (no pipeline). This distinction matters because piping `Write-Host` outputs the string representation, not the object, which can break downstream cmdlets expecting objects.

**PS2 — Easy:** The **pipeline** passes objects from one cmdlet to the next. **`ForEach-Object`** is a cmdlet that works on pipeline objects. **`foreach`** is a language statement that iterates over a collection in memory. Use `ForEach-Object` for pipeline processing and `foreach` for in-memory loops.

**PS3 — Medium:** **`[PSCustomObject]`** creates a PowerShell object with properties. **`[hashtable]`** is a standard dictionary. Use `PSCustomObject` for structured data output. Convert with `@{}` or `ConvertTo-Object`.

**PS4 — Medium:** **Terminating errors** stop the script execution. **Non-terminating errors** continue execution. **`-ErrorAction`** overrides `$ErrorActionPreference`. `try/catch` only catches terminating errors.

**PS5 — Medium:** **Splatting** (`@params`) passes a hashtable as separate arguments to a function. It improves readability and allows dynamic parameter construction.

**PS6 — Medium:** **`Invoke-Command -ComputerName`** runs scriptblocks on remote computers. **`Enter-PSSession`** starts an interactive session. It uses **WinRM** (Windows) or **SSH** (PowerShell 7+).

**PS7 — Hard:** The function returns an array `@("one")`. `$x.GetType().Name` is `Object[]`. When returning 0 items, it returns an empty array `@()`. The correct pattern is to always return an array (e.g., `@($result)`) to ensure consistent behavior in pipelines.

**PS8 — Hard:** **`[scriptblock]`** is a string of code. **Functions** are compiled scriptblocks. **Double-hop problem:** Passing credentials from a remote session to a second remote machine. **Solution:** Use `CredSSP` or `Invoke-Command -ArgumentList`.

**PS9 — Easy:** `@()` creates an array. `[array]` is the .NET array type. Force a single result into an array using `@($single)`. Indexing `$null` throws an error; indexing an empty array returns `$null`.

**PS10 — Easy:** **Comparison operators:** `-eq` (equal), `-ne` (not equal), `-like` (wildcard), `-match` (regex), `-contains` (exists), `-in` (exists in list). Case-sensitive variants: `-ceq`, `-clike`, etc. `-contains` checks if an item exists in a collection; `-in` checks if a value exists in a collection.

**PS11 — Easy:** A **module** is a reusable collection of functions, cmdlets, etc. **Script module** (.psm1), **Manifest module** (.psd1), **Binary module** (.dll). `Import-Module` loads the module.

**PS12 — Easy:** **String interpolation** uses `$` inside double quotes. **Single quotes** are literal. **Here-strings** (`@"..."@`) are multi-line strings that preserve formatting.

**PS13 — Easy:** **`Get-Member`** displays the properties and methods of an object. **`Select-Object`** selects specific properties. **`Where-Object`** filters objects based on a condition.

**PS14 — Medium:** **PowerShell classes** (v5+) are similar to C# classes but with some limitations (no multiple inheritance, no interfaces). Use them for complex logic or when leveraging .NET types.

**PS15 — Medium:** **`[CmdletBinding()]`** enables common parameters (Verbose, Debug, ErrorAction). **`SupportsShouldProcess`** enables `Confirm` and `WhatIf`. **`Begin/Process/End`** blocks handle input processing.

**PS16 — Medium:** **Providers** (FileSystem, Registry, Environment) expose data stores as drives. **`Get-ChildItem`** works across providers. Registry is accessed like a file system (e.g., `HKLM:\Software`).

**PS17 — Hard:** **Runspaces** are isolated execution environments. **`[powershell]`** objects represent runspace instances. **`ForEach-Object -Parallel`** (v7+) is a simplified way to run parallel tasks. Manual runspace management offers more control but is complex.

**PS18 — Hard:** **PSScriptAnalyzer** is a static code analysis tool. It enforces rules (e.g., `PSPossibleIncorrectComparisonWithNull`). **Severity levels** (Warning, Error). Custom rules can be written. Integrated via CI/CD.

**PS19 — Hard:** **`$using:`** scope allows accessing variables from the caller's scope in remote sessions/jobs. **Serialization limits** (CLIXML depth) can break complex objects. Use simple types or `ConvertTo-Json` to bypass limits.

**PS20 — Hard:** **DSC** is declarative. **Configurations** define state, **Resources** implement it, **LCM** applies it. **JSON DSC** (PowerShell 7+) replaced the old MOF-based DSC. Modern IaC tools (Terraform, Ansible) have largely superseded DSC.
