## Application Architecture

**AA1** — **Monolith:** A single, unified codebase and deployment unit. **Microservices:** A collection of small, independent services communicating over a network. **Problems:** 1. Distributed data consistency (no ACID across services), 2. Increased operational complexity (deployment/monitoring of $N$ services), 3. Network latency and partial failure handling.

**AA2** — **Synchronous:** Caller waits for a response (Request/Response). Example: REST/HTTP or gRPC. **Asynchronous:** Caller sends a message and continues without waiting for an immediate result. Example: RabbitMQ or Apache Kafka.

**AA3** — **Reverse Proxy:** Focuses on routing, load balancing, and SSL termination. **API Gateway:** A specialized reverse proxy that adds "API management" features (authentication, rate limiting, request transformation, orchestration). An API Gateway can replace a reverse proxy, but a simple reverse proxy cannot provide the high-level business logic/governance of a gateway.

**AA4** — **Saga Pattern:** Manages distributed transactions via a sequence of local transactions with compensating transactions for rollbacks. **Choreography:** Services exchange events; each service knows what to do when it sees an event (decentralized). **Orchestration:** A central "orchestrator" tells services when to execute their local transactions (centralized). Choreography is better for simple flows; Orchestration is better for complex, long-running business processes.

**AA5** — **CQRS:** Separates the model for updating data (Command) from the model for reading data (Query). **Event Sourcing:** Stores the state as a sequence of immutable events rather than current state. **Combination:** Event Sourcing provides the "source of truth" (events), and CQRS creates optimized "read views" from those events. This solves the problem of complex queries on high-write data and provides a perfect audit trail.

**AA6** — **Circuit Breaker:** Prevents a service from repeatedly trying to call a failing downstream service. **States:** Closed (traffic flows), Open (fails fast immediately), Half-Open (tests if service has recovered). **Difference:** A retry with backoff still attempts the call; a circuit breaker stops the call entirely to allow the downstream service to recover. Use both to handle transient blips (retry) and systemic outages (circuit breaker).

**AA7** — **Isolation Models:**
1. **Shared DB/Schema:** Lowest cost, lowest security, highest noisy-neighbor risk.
**AA13** — **Load Balancer:** Distributes traffic across multiple servers. **L4:** Operates at Transport layer (TCP/UDP), routes based on IP/Port. **L7:** Operates at Application layer (HTTP), routes based on URL, headers, or cookies. **L7 Use Case:** Routing `/api/v1` to one cluster and `/api/v2` to another.

**AA14** — **Message Queue:** A point-to-point system where messages are deleted after consumption (RabbitMQ). **Log-based Broker:** An append-only log where messages persist and can be replayed (Kafka). **Choice:** Use RabbitMQ for task distribution/work queues; use Kafka for event streaming and high-throughput data pipelines.

**AA15** — **Container:** Shares the host OS kernel, packaging only the app and dependencies. **VM:** Includes a full guest OS and runs on a hypervisor. **Popularity:** Containers are lightweight, start in seconds, and ensure "it works on my machine" consistency across environments.

**AA16** — **Stateless:** Does not store client data between requests (e.g., a REST API). **Stateful:** Remembers client state (e.g., a Database or Redis). **Scaling:** Stateless services scale horizontally easily because any instance can handle any request; stateful services require complex data replication or "sticky sessions."

**AA17** — **ORM:** Maps database tables to language objects. **Examples:** Hibernate (Java), Entity Framework (.NET). **Trade-offs:** ORMs increase developer productivity and reduce boilerplate but can introduce performance overhead (N+1 query problem) and hide the underlying SQL efficiency.

**AA18** — **Bulkhead:** Isolating elements of an application into pools so that if one fails, others continue. **Implementation:** Use separate thread pools for different downstream services (e.g., one pool for "Payment API" and one for "Email API") so that a hang in the Email API doesn't exhaust all threads and crash the whole app.

**AA19** — **OT:** Central server transforms operations to maintain consistency. **CRDTs:** Data structures that merge mathematically without conflicts. **Comparison:** OT is complex and requires a central server; CRDTs are more complex to implement but support decentralized, offline editing. **Choice:** CRDTs for offline support because they allow local edits to merge seamlessly upon reconnection.

**AA20** — **Tracing:** Uses a unique TraceID passed through headers. **Propagation:** W3C Trace Context is the standard. **Sampling:** Head-based (decide at start) vs Tail-based (decide based on result, e.g., keep all errors). **Kafka:** Inject the TraceID into Kafka record headers; the consumer extracts it to continue the span.

---

## On-Premise Infrastructure Architecture

**OP1** — **Type 1:** Runs directly on hardware (ESXi, Hyper-V). **Type 2:** Runs on top of an OS (VirtualBox, VMware Workstation).

**OP2** — **SAN (Storage Area Network):** Block-level storage, high performance, uses Fibre Channel or iSCSI. **NAS (Network Attached Storage):** File-level storage, shared folders, uses NFS or SMB. Use SAN for databases/VM disks; use NAS for shared file storage.

**OP3** — **3-Tier:** Core $\rightarrow$ Distribution $\rightarrow$ Access. **Leaf-Spine:** Every leaf switch connects to every spine switch. **Problem solved:** Eliminates STP (Spanning Tree) bottlenecks and provides predictable, low-latency "east-west" traffic (server-to-server), which is dominant in modern data centers.

**OP4** — **Proxmox HA:** Requires $\ge 3$ nodes for quorum. **Fencing:** Uses STONITH (Shoot The Other Node In The Head) via IPMI to ensure a failed node is dead before restarting VMs. **Storage:** Ceph (distributed) is preferred for shared storage. If a node fails, the cluster detects loss of quorum/heartbeat, fences the node, and restarts VMs on healthy nodes.

**OP5** — **VLAN Trunking:** Carrying multiple VLANs over one physical link using 802.1Q tags. **Linux Config:** Load the `8021q` module, then create virtual interfaces: `ip link add link eth0 name eth0.10 type vlan id 10`.

**OP6** — **RAID:** 1 (Mirror), 5 (Parity), 6 (Dual Parity), 10 (Mirror+Stripe), Z2 (ZFS double parity). **DB Server:** RAID 10. It provides the best IOPS (no parity calculation overhead) and high fault tolerance, which is critical for database write performance.

**OP7** — **DNS Architecture:** Internal AD for internal resolution; DMZ servers for public. **Split-horizon:** The DNS server returns different IPs for the same record based on whether the request is internal or external. **VPN:** When a laptop connects via VPN, the VPN adapter pushes internal DNS suffixes and resolvers to the client.

**OP8** — **PKI:** Root CA (Offline) $\rightarrow$ Subordinate CA $\rightarrow$ End Entity. **Revocation:** CRL (list of revoked certs) or OCSP (real-time check). **Compromise:** A compromised Sub CA requires revoking that specific branch; a compromised Root CA requires a total rebuild of the entire trust chain for the organization.

**OP9** — **WAN:** MPLS (Expensive, guaranteed QoS), IPsec (Cheap, unpredictable), SD-WAN (Flexible, software-defined), WireGuard (Fast, peer-to-peer). **Recommendation:** SD-WAN. It allows prioritizing VoIP traffic (QoS) over the internet while maintaining security and lower costs than MPLS.

**OP10** — **IPMI/iDRAC/iLO:** Out-of-band management allowing power control and console access regardless of OS state. **Criticality:** Allows remote recovery of crashed servers. **Internet Exposure:** Extremely dangerous; allows an attacker to remotely wipe disks, reboot, or install a malicious OS via virtual media.

**OP11** — **LVM:** Logical volumes for flexible resizing. **LVM-Thin:** Over-provisioning (allocate more than exists). **ZFS:** Copy-on-Write (CoW) filesystem with integrated volume management. **Snapshots:** LVM uses snapshots (can slow performance); ZFS uses near-instant, zero-cost snapshots due to CoW.

**OP12** — **Stretch Cluster:** Distribute nodes across two sites with a third "witness" site for quorum. **Ceph:** Use CRUSH rules to ensure replicas are stored in different sites. **Split-brain:** Without a tiebreaker (witness), two sites might both think they are the master, leading to data corruption.

**OP13** — **DHCP DORA:** Discover, Offer, Request, Acknowledge. **Failure:** If the server is unavailable and the lease expires, Windows clients assign themselves an APIPA address (169.254.x.x).

**OP14** — **Managed Switch:** Supports VLANs, STP, SNMP, and Port Mirroring. **Unmanaged:** Basic plug-and-play. Managed switches are essential for security (VLANs) and troubleshooting (monitoring).

**OP15** — **NTP:** Network Time Protocol. **Criticality:** Essential for Kerberos authentication (max 5 min drift), log correlation for forensics, and database replication consistency.

**OP16** — **Physical:** Bare metal. **VM:** Hardware abstraction. **Container:** OS abstraction. **Bare Metal Use Case:** High-performance databases, GPU workloads, or low-latency applications where hypervisor overhead is unacceptable.

**OP17** — **UPS:** Battery for immediate, short-term power. **Generator:** Fuel-based for long-term power. **ATS:** Automatically switches the load from the UPS/Grid to the generator when power fails.

**OP18** — **Active-Passive:** One node works, one waits. **Active-Active:** Both work. **Postgres HA:** Use Corosync for membership and Pacemaker for resource management. Use a Virtual IP (VIP) for the client; if the master fails, Pacemaker uses STONITH to kill the old master and moves the VIP to the standby.

**OP19** — **Backup Strategy:** 3-2-1 (3 copies, 2 media, 1 offsite). **RPO:** Max data loss (e.g., 1 hour). **RTO:** Max downtime (e.g., 4 hours). **Immutable:** Use S3 Object Lock or WORM tapes to prevent ransomware. **Backup vs DR:** Backup is the *data* copy; DR is the *plan/infrastructure* to restore that data and resume business.

**OP20** — **802.1X:** **Supplicant** (Client) $\rightarrow$ **Authenticator** (Switch) $\rightarrow$ **Auth Server** (RADIUS). **EAP-TLS** uses certificates; **PEAP** uses passwords. **Dynamic VLAN:** RADIUS tells the switch which VLAN to assign the port to based on the user. **MAB:** For non-802.1X devices (printers), the switch sends the MAC address to RADIUS for whitelist verification.
