## Application Architecture

**AA1** — **Monolith:** A single, unified codebase and deployment unit. **Microservices:** A collection of small, independent services communicating over a network. **Problems:** 1. Distributed tracing/debugging complexity. 2. Network latency and partial failure handling. 3. Data consistency (managing distributed transactions).

**AA2** — **Synchronous:** The caller waits for a response (e.g., REST/gRPC). **Asynchronous:** The caller sends a message and continues processing without waiting for an immediate result (e.g., RabbitMQ/Kafka).

**AA3** — **Reverse Proxy:** Focuses on routing, load balancing, and SSL termination. **API Gateway:** A specialized reverse proxy that adds "business" logic: authentication, rate limiting, request transformation, and API orchestration. A Gateway can replace a proxy, but a simple proxy is often more performant for basic routing.

**AA4** — **Saga Pattern:** Manages distributed transactions via a sequence of local transactions with compensating actions for failures. **Choreography:** Services exchange events; no central coordinator (decentralized). **Orchestration:** A central "orchestrator" tells services when to act. **Use:** Choreography for simple workflows; Orchestration for complex, multi-step business processes.

**AA5** — **CQRS:** Separates the model for updating data (Command) from the model for reading data (Query). **Event Sourcing:** Stores state as a sequence of immutable events rather than current state. **Problem solved:** Traditional CRUD struggles with complex read requirements and audit trails; this combination allows highly optimized read views and a perfect history of every change.

**AA6** — **Circuit Breaker:** Prevents a service from repeatedly calling a failing downstream service. **States:** Closed (Normal), Open (Fail fast), Half-Open (Testing if service recovered). **Vs Retry:** Retries handle transient blips; Circuit Breakers handle systemic failure. Use both: Retry for a few attempts, then trip the circuit if failure persists.

**AA7** — 
1. **Shared DB/Schema:** Lowest cost, lowest security (logical isolation only), high noisy-neighbor risk.
**OP4** — **Proxmox HA:** 3+ nodes for quorum. **Fencing:** Uses STONITH (Shoot The Other Node In The Head) to kill failing nodes. **Storage:** Ceph (distributed) or iSCSI (centralized). **Failure:** If a node fails, the cluster detects loss of heartbeat and restarts VMs on healthy nodes.

**OP5** — **VLAN Trunking:** Carrying multiple VLANs over one physical link using 802.1Q tags. **Linux Config:** Create tagged interfaces using `ip link add link eth0 name eth0.10 type vlan id 10`.

**OP6** — **RAID:** 1 (Mirror), 5 (Parity), 6 (Double Parity), 10 (Mirror+Stripe), Z2 (ZFS double parity). **DB Server:** RAID 10. It provides the best balance of high IOPS (performance) and fault tolerance (can lose multiple drives if they aren't in the same mirror).

**OP7** — **DNS:** Internal AD for local resolution; External authoritative servers for public. **Split-horizon:** Different records for internal vs external users. **VPN:** Laptop uses a VPN tunnel to reach the internal recursive resolver via conditional forwarding.

**OP8** — **PKI:** Root CA (kept offline) $\rightarrow$ Subordinate CA $\rightarrow$ End-entity. **CRL/OCSP:** CRL is a list of revoked certs; OCSP is a real-time check. **Compromise:** Root compromise requires replacing the entire PKI; Sub CA compromise only requires revoking that specific branch.

**OP9** — **Comparison:** MPLS (Expensive/Guaranteed), VPN (Cheap/Unreliable), SD-WAN (Flexible/Managed), WireGuard (Fast/Mesh). **VoIP Recommendation:** SD-WAN. It allows QoS (Quality of Service) tagging to prioritize voice traffic over data.

**OP10** — **OOB Management:** iDRAC/iLO/IPMI allows hardware control (power, console) regardless of OS state. **Internet Exposure:** Total system compromise; an attacker can reboot, wipe, or steal data from the server.

**OP11** — **LVM:** Logical volumes for flexibility. **LVM-Thin:** Over-provisioning (allocate more than exists). **ZFS:** Copy-on-write filesystem with integrated volume management. **Snapshots:** LVM is basic; ZFS snapshots are near-instant and extremely efficient.

**OP12** — **Stretch Cluster:** Nodes across two sites with a witness/tiebreaker in a third site. **Ceph:** Use CRUSH rules to ensure replicas are in different sites. **2-site problem:** Without a tiebreaker, a network split causes "split-brain," where both sites think they are the master.

**OP13** — **DHCP (DORA):** Discover, Offer, Request, Acknowledge. **Failure:** If the server is gone and lease expires, Windows clients assign themselves an APIPA address (169.254.x.x).

**OP14** — **Managed Switch:** Supports VLANs, STP, SNMP, and port mirroring. **Unmanaged:** Basic plug-and-play. **Enterprise need:** Managed switches are required for network segmentation and security.

**OP15** — **NTP:** Network Time Protocol. **Criticality:** Essential for Kerberos authentication, log correlation, and database replication. **Drift:** Can cause auth failures and data corruption in distributed clusters.

**OP16** — **Physical:** Bare metal. **VM:** Virtualized hardware. **Container:** Virtualized OS. **Bare Metal Use Case:** High-performance databases or GPU workloads where hypervisor overhead is unacceptable.

**OP17** — **UPS:** Battery for immediate, short-term power. **Generator:** Fuel-based for long-term power. **ATS:** Automatically switches from utility power to generator power. You need both to bridge the gap between power loss and generator startup.

**OP18** — **Active-Passive:** One standby. **Active-Active:** Both process load. **Postgres HA:** Use Pacemaker/Corosync for heartbeats and a Virtual IP (VIP) that floats to the active node. STONITH ensures the passive node is dead before the standby takes over.

**OP19** — **3-2-1:** 3 copies, 2 media, 1 offsite. **RPO:** Max data loss. **RTO:** Max downtime. **Immutable:** S3 Object Lock prevents ransomware from deleting backups. **Backup vs DR:** Backup is about data recovery; DR is about business continuity (getting the service back online).

**OP20** — **802.1X:** Supplicant (Client) $\rightarrow$ Authenticator (Switch) $\rightarrow$ Auth Server (RADIUS). **EAP-TLS:** Certificate-based (most secure). **PEAP:** Password-based. **MAB:** For printers/IoT; the switch allows access based on the MAC address if the device can't run an 802.1X supplicant.
