## Application Architecture

**AA1** — Monoliths are single-unit deployments where all business logic resides in one codebase/process. Microservices decompose the app into small, independent services communicating over a network. **Problems:** 1. Network latency/reliability (distributed system overhead), 2. Data consistency (distributed transactions), 3. Operational complexity (deployment, monitoring, and logging across N services).

**AA2** — **Synchronous:** Client sends a request and waits for a response (blocking). Example: REST/HTTP. **Asynchronous:** Client sends a message and continues processing without waiting for an immediate result (non-blocking). Example: RabbitMQ/Kafka.

**AA3** — A **Reverse Proxy** (e.g., Nginx) handles load balancing, SSL termination, and routing. An **API Gateway** (e.g., Kong, AWS API Gateway) is a specialized reverse proxy that adds "API-aware" features: rate limiting, authentication, request transformation, and billing. It cannot replace a reverse proxy because it *is* one, but a simple reverse proxy cannot replace a gateway's business-logic capabilities.

**AA4** — The **Saga pattern** manages distributed transactions by breaking them into a sequence of local transactions. If one fails, "compensating transactions" undo previous steps. **Choreography:** Services exchange events; no central coordinator. Best for simple workflows. **Orchestration:** A central "orchestrator" tells services when to act. Best for complex workflows with many steps.

**AA5** — **CQRS** separates the data model for writing (Commands) from the model for reading (Queries). It is paired with **Event Sourcing** (storing state as a sequence of events) because the event log serves as the "write" side, and "read" projections are built from that log. This solves the problem of complex join queries on highly normalized write-databases and provides a perfect audit trail.

**AA6** — **Circuit Breaker** prevents a service from repeatedly trying to call a failing downstream service. **States:** 1. Closed (requests flow), 2. Open (requests fail immediately), 3. Half-Open (test requests allowed). **Difference:** Retries with backoff try again; Circuit Breakers stop trying entirely for a period. Use both: Retry for transient blips; Circuit Breaker for systemic failure.

**AA7** — 
1. **Shared DB/Schema:** Lowest cost, highest noisy-neighbor risk, lowest security (relies on `WHERE tenant_id = X`).
2. **Shared DB/Separate Schema:** Medium cost, medium security (schema-level permissions), medium complexity.
3. **Separate DB:** Highest cost, highest security (physical isolation), highest operational complexity (migrations across N DBs), lowest noisy-neighbor risk.

**AA8** — **Strong Consistency:** All reads return the most recent write. **Eventual Consistency:** Reads will eventually converge, but may return stale data. **Inventory System:** Use **Strong Consistency**. Architect with a distributed SQL DB (e.g., CockroachDB) or a RDBMS with pessimistic locking/ACID transactions. Use the **Reservation Pattern** (temporarily hold item in Redis/DB) to prevent overselling at scale.

**AA9** — A **Sidecar** is a helper container running alongside the app container in the same pod. **Envoy** handles the actual network traffic (Data Plane), while **Istio** manages the configuration/policies (Control Plane). **mTLS** solves the "trust" problem: it ensures identity and encryption between services without the application needing to manage certificates or trust stores manually.

**AA10** — **Strangler Fig** involves wrapping a legacy system with a proxy and incrementally replacing functionality with new services. **Strategy:** 1. Place an API Gateway/Proxy in front of the .NET Framework monolith. 2. Identify a small bounded context (e.g., "Billing"). 3. Build "Billing" in .NET 8. 4. Route "Billing" traffic to the new service via the proxy. 5. Repeat until the monolith is an empty shell.

**AA11** — **12-Factor App:** A methodology for cloud-native apps. Factors: 1. Codebase (one version control), 2. Dependencies (explicitly declared), 3. Config (stored in environment), 4. Backing services (treated as attached resources), 5. Build/Release/Run (strictly separated), 6. Processes (stateless). These ensure portability, scalability, and automation.

**AA12** — 
- **Coupling:** Event-driven (Loose); Request-driven (Tight).
**OP4** — **Architecture:** Min 3 nodes for quorum. **Quorum:** Prevents split-brain. **Fencing:** STONITH (Shoot The Other Node In The Head) to kill failed nodes. **Storage:** Ceph (distributed) is best for HA. **Failure:** If a node fails, the cluster detects loss of heartbeat, fences the node, and restarts VMs on remaining nodes using shared storage.

**OP5** — **VLAN Trunking:** Carrying multiple VLANs over one physical link. **802.1Q:** Adds a "tag" to the Ethernet frame to identify the VLAN. **Linux Config:** Create sub-interfaces (e.g., `ip link add link eth0 name eth0.10 type vlan id 10`).

**OP6** — **RAID 1:** Mirroring. **RAID 5:** Parity (1 disk fail). **RAID 6:** Dual Parity (2 disk fail). **RAID 10:** Mirror of stripes (Fast, safe). **RAID Z2:** ZFS equivalent of RAID 6. **Choice for DB:** RAID 10. It provides the best IOPS (no parity calculation) and high fault tolerance.

**OP7** — **Architecture:** Internal AD DNS for local resolution. **Split-Horizon:** Different records for internal vs external queries. **DMZ:** Authoritative servers for public zones. **Recursive Resolvers:** Internal clients point to AD DNS $\rightarrow$ Forwarders $\rightarrow$ Root Hints. **VPN:** Laptop uses VPN DNS settings to resolve internal names via conditional forwarding. **DNSSEC:** Digitally signs external zones to prevent spoofing.

**OP8** — **Chain:** Root CA $\rightarrow$ Intermediate/Issuing CA $\rightarrow$ End-entity. **Deployment:** Root CA kept offline (air-gapped). Issuing CA handles requests. **CRL/OCSP:** CRL is a list of revoked certs; OCSP is a real-time check. **Compromise:** Subordinate CA compromise requires revoking that CA's cert. Root CA compromise requires rebuilding the entire PKI from scratch.

**OP9** — **MPLS:** Expensive, guaranteed QoS, high reliability. **IPsec VPN:** Cheap, internet-dependent, higher latency. **SD-WAN:** Software-defined, blends multiple links, easy management. **WireGuard Mesh:** Fast, secure, manual/tool-based config. **Recommendation:** SD-WAN. It allows prioritizing VoIP traffic (QoS) across multiple links while remaining cheaper than pure MPLS.

**OP10** — **OOB Management:** Dedicated hardware (iDRAC/iLO) for power control and console access regardless of OS state. **Criticality:** Allows fixing a server that won't boot or has a crashed OS. **Internet Exposure:** Catastrophic; allows attackers to reinstall the OS, steal data via virtual media, or brick the hardware.

**OP11** — **LVM:** Logical volume management (resizing). **LVM-Thin:** Over-provisioning (allocates space on demand). **ZFS:** Combined FS and Volume Manager with checksums. **Snapshots:** LVM is copy-on-write (CoW) but can be slow; LVM-Thin is more efficient; ZFS uses a highly optimized CoW system for near-instant snapshots.

**OP12** — **Design:** 3 nodes across 2 sites (2 in Site A, 1 in Site B) or 3 sites. **Ceph:** Use CRUSH rules to ensure replicas are stored in different "failure domains" (sites). **Latency:** Must be very low (<10ms) for synchronous writes. **Split-Brain:** 2-site Ceph is bad because if the link breaks, neither side has a majority (quorum), causing the storage to go read-only to prevent data corruption.

**OP13** — **DHCP:** Assigns IP addresses. **DORA:** Discover $\rightarrow$ Offer $\rightarrow$ Request $\rightarrow$ Acknowledge. **Failure:** Windows clients use **APIPA** (169.254.x.x) if the server is unavailable and the lease expires.

**OP14** — **Unmanaged:** Plug-and-play, no config. **Managed:** Allows VLANs, STP, Port Mirroring (for monitoring), and Link Aggregation (LACP). Essential for security (segmentation) and performance (bandwidth) in enterprises.

**OP15** — **NTP:** Network Time Protocol. **Criticality:** Logs must be synchronized for forensics; Kerberos authentication fails if clocks drift $>5$ mins. **Cluster Drift:** Can cause "split-brain" or database corruption in distributed systems that rely on timestamps for ordering.

**OP16** — **Physical:** Hardware. **VM:** Hardware abstraction via hypervisor. **Container:** OS abstraction via kernel namespaces. **Bare Metal Use Case:** High-performance databases (SQL Server/Oracle) or GPU-heavy workloads where hypervisor overhead is unacceptable.

**OP17** — **UPS:** Battery for immediate power (seconds/minutes). **Generator:** Fuel-based for long-term power (hours/days). **Both:** UPS bridges the gap until the generator starts. **ATS:** Automatically switches the power source from utility to generator.

**OP18** — **Active-Passive:** One node works, one waits. **Active-Active:** Both work. **PostgreSQL HA:** Use **Pacemaker/Corosync** to monitor health. **VIP:** A virtual IP that moves to the active node. **STONITH:** If the active node is unresponsive, the passive node "fences" (reboots) it to ensure it's truly dead before taking over the VIP and DB.

**OP19** — **3-2-1 Rule:** 3 copies, 2 different media, 1 offsite. **RPO (Recovery Point Objective):** Max data loss (e.g., 1 hour). **RTO (Recovery Time Objective):** Max downtime (e.g., 4 hours). **Immutable Backups:** WORM (Write Once Read Many) storage to prevent ransomware from deleting backups. **Backup vs DR:** Backup is about data recovery; DR is about restoring the entire business service (infrastructure + data).

**OP20** — **802.1X:** **Supplicant** (Client) $\rightarrow$ **Authenticator** (Switch) $\rightarrow$ **Auth Server** (RADIUS/ISE). **EAP-TLS:** Certificate-based (most secure). **PEAP:** Username/Password. **Dynamic VLAN:** RADIUS tells the switch which VLAN to put the user in. **Failure:** Port is blocked or put in a "Guest" VLAN. **MAB:** Switch sends the device's MAC address to RADIUS for approval (used for printers/IoT).
