## Application Architecture

**AA1** — Monoliths are single, deployed codebases sharing memory/process space. Microservices are independently deployable, network-communicating services. Microservices introduce: (1) network latency/failure handling, (2) distributed data consistency challenges, (3) operational complexity (orchestration, CI/CD pipelines, distributed tracing).

**AA2** — Synchronous: caller blocks until response arrives (e.g., REST/gRPC over HTTP). Asynchronous: producer sends message, consumer processes later without blocking (e.g., RabbitMQ, Kafka, SQS).

**AA3** — A reverse proxy routes traffic to backends, handles TLS termination, load balancing, and caching at the network/transport layer. An API gateway adds business-level routing, auth, rate limiting, request transformation, and service discovery. An API gateway cannot fully replace a reverse proxy; reverse proxies provide low-level DDoS protection, protocol-agnostic routing, and efficient TLS termination that gateways typically sit behind.

**AA4** — A Saga manages distributed transactions by breaking them into local transactions, each with a compensating action for rollback. Choreography: services publish events and react autonomously (decentralized, low coupling, best for simple/linear flows). Orchestration: a central coordinator directs services (centralized control, best for complex, conditional, or multi-step workflows requiring explicit error handling).

**AA5** — CQRS separates read and write models. Event Sourcing stores state as an immutable sequence of events. They pair naturally: events drive state changes, and CQRS read models project events into optimized schemas. This solves auditability, temporal queries, optimistic locking contention, and complex domain state transitions that traditional CRUD struggles with.

**AA6** — A Circuit Breaker prevents repeated calls to a failing service. States: Closed (normal), Open (fail fast), Half-Open (test recovery). Unlike retry/backoff (which assumes transient failure and waits), the circuit breaker stops traffic entirely after a threshold to prevent cascade/fatigue. Use both: circuit breaker halts traffic to a failing service; retry/backoff handles successful calls or validates recovery in half-open state.

**AA7** — 
1. Shared DB/schema: Lowest cost, highest noisy-neighbor risk, complex row-level security, low ops overhead.
2. Shared DB/separate schema: Moderate cost, better isolation/noisy-neighbor mitigation, moderate ops overhead (schema migrations).
3. Separate DB/tenant: Highest cost, best isolation/security, lowest noisy-neighbor risk, high ops overhead (backup, scaling, maintenance per tenant).

**AA8** — Eventual consistency: updates propagate over time; reads may be stale. Strong consistency: immediate visibility across replicas. For zero oversell: use strong/linearizable consistency. Data store: Distributed SQL (CockroachDB, Spanner) or RDBMS with row-level locking. Patterns: optimistic concurrency control (version columns), reservation/hold with TTLs, or serializable transaction queues for inventory updates. Partition by SKU/warehouse to scale.

**AA9** — A sidecar proxy co-locates with a service to intercept all traffic. In Istio, Envoy handles the data plane (routing, mTLS, observability); Istio control plane (Pilot, Citadel) pushes config and manages certs. mTLS between sidecars solves transparent service-to-service authentication, automatic cert rotation, and uniform mesh security without application code changes, unlike app-level TLS which requires manual integration and doesn't secure internal mesh traffic uniformly.

**AA10** — The Strangler Fig pattern incrementally replaces legacy functionality by routing traffic to new services while keeping the legacy system operational. Strategy: Deploy an API gateway. Route specific endpoints/features to new .NET 8 microservices. Migrate module-by-module (e.g., auth, billing). Keep shared DB initially or migrate data incrementally. Update gateway routing as new services stabilize. Decommission legacy routes once fully replaced.

**AA11** — 12-Factor App is a cloud-native design methodology. Six factors: (1) Codebase (one repo, many deploys), (2) Dependencies (explicitly declare), (3) Config (env vars, not code), (4) Backing services (treat as attached resources), (5) Build/release/run (strictly separate stages), (6) Processes (stateless, scale via processes). They matter for portability, secure config management, predictable deployments, and horizontal scalability in cloud environments.

**AA12** — 
- Coupling: Event-driven = loose; Request-driven = tight.
**OP2** — SAN provides block-level storage (presents as local disk); used for databases/VMs; protocols: Fibre Channel, iSCSI. NAS provides file-level storage; used for file shares/backups; protocols: NFS, SMB/CIFS. Use SAN for high-performance/low-latency block access; NAS for collaborative file access and simpler management.

**OP3** — 3-tier: Core (backbone), Distribution (policy/routing), Access (edge). Leaf-spine: full mesh between leaf (access) and spine (core), eliminating distribution layer. Leaf-spine solves 3-tier bottlenecks, non-deterministic paths, and high latency by providing deterministic, low-latency, scalable bandwidth with equal-cost multipath routing.

**OP4** — Use 3+ nodes for quorum. Quorum requires majority online for decisions. Fencing via STONITH (IPMI/iDRAC) powers off failed nodes. Shared storage: Ceph (recommended), iSCSI, or NFS. On node failure: Pacemaker detects failure, fences node, migrates VMs to healthy nodes using shared storage. Zero data loss, automatic recovery.

**OP5** — VLAN trunking carries multiple VLANs over a single link. 802.1Q adds a VLAN tag to Ethernet frames. Linux config: `ip link add link eth0 name eth0.10 type vlan id 10`, assign IPs, configure switch port as trunk (allow VLANs). Alternatively, use NetworkManager or systemd-networkd VLAN interfaces.

**OP6** — RAID 1: mirror, 50% cap, 1 drive fault. RAID 5: stripe+parity, (N-1) cap, 1 drive fault. RAID 6: double parity, (N-2) cap, 2 drive fault. RAID 10: mirror+stripe, 50% cap, 2 drive fault (different mirrors). RAID Z2: double parity, (N-2) cap, 2 drive fault, self-healing, scrubbing. For 6 drives + DB: RAID Z2 or RAID 6. Z2 preferred for data integrity, automatic repair, and better performance under load.

**OP7** — Recursive resolvers: internal clients use AD-integrated DNS. Authoritative servers: internal zone for AD/domain, external zone for public services. Forwarders: point to ISP/Cloudflare for external resolution. Conditional forwarding: routes internal subdomains to AD DNS, external to forwarders. DNSSEC: sign external zone, publish DS at registrar. Laptop mobility: DHCP provides internal DNS; VPN client pushes internal DNS servers. Split-horizon returns internal IPs for internal names, external for public. Conditional forwarding ensures AD resolution works on/off network.

**OP8** — Chain: Root CA (trust anchor) → Subordinate/Issuing CA → End-entity cert. Internal PKI: Root CA offline (air-gapped). Subordinate CA online, issues certs. CRL: periodic revoked cert list. OCSP: real-time status check. Templates: define cert properties (key usage, validity, auto-enrollment). Auto-enrollment: Windows clients request/renew certs via GPO. Compromised subordinate: revoke issuing CA, issue new certs, minimal impact. Compromised root: trust anchor broken, rebuild entire PKI, update all trust stores, massive disruption.

**OP9** — MPLS: high cost, high reliability, low latency, provider-managed, secure private network. IPsec VPN: low cost, variable reliability/latency, high management, internet-based. SD-WAN: moderate cost, high reliability (bonding), low latency (QoS), centralized management, secure. WireGuard mesh: low cost, high reliability, low latency, simple config, strong crypto, lacks centralized management/SLA. Recommendation: SD-WAN. Balances cost, reliability, latency (QoS for VoIP), centralized management, and security better than alternatives.

**OP10** — iDRAC (Dell), iLO (HPE), IPMI: out-of-band management for remote power, console, hardware monitoring. Critical for recovery when OS/network is down, remote maintenance, automated provisioning. Internet exposure: high risk. Attackers can exploit vulnerabilities to gain root access, reset passwords, or brick hardware. Must be on isolated management network, never exposed to internet.

**OP11** — LVM: traditional, fixed-size volumes, COW snapshots consume space. LVM-Thin: overprovisions storage, thin snapshots space-efficient, but performance degrades if pool fills. ZFS: filesystem+volume manager, COW, instant snapshots, space-efficient, self-healing. Use LVM for legacy/simple setups, LVM-Thin for overprovisioning, ZFS for data integrity/modern deployments. Snapshot semantics: LVM/LVM-Thin = COW, require pre-allocation/thin provisioning. ZFS = instant, immutable, space-efficient, recursive.

**OP12** — Stretch cluster: 2 sites with 2 nodes each, 1 arbiter node. CRUSH rules place replicas across sites. Monitors: 3 (1 per site + arbiter) for quorum. Latency: <5ms recommended; higher causes performance degradation/split-brain. Split-brain: both sites think primary, data diverges; arbiter breaks tie. 2-site Ceph is bad without tiebreaker: 2 sites = 2 monitors, no quorum, split-brain guaranteed. Ceph requires odd monitor count for quorum.

**OP13** — DHCP assigns IP/config. DORA: Discover, Offer, Request, Acknowledge. Unavailable server: client retries, falls back to APIPA (169.254.x.x) or static fallback. Expired lease: client attempts renewal (T1 at 50%, T2 at 87.5%). If fails, stops using IP, broadcasts renewal, may get new IP or APIPA.

**OP14** — Unmanaged: plug-and-play, no config. Managed: configurable, supports VLANs, QoS, STP, ACLs, SNMP, port security, link aggregation. Enterprise importance: segmentation, traffic prioritization, loop prevention, security, monitoring, scalability.

**OP15** — NTP synchronizes clocks. Critical for authentication, logging, clustering, distributed transactions, certificate validity, audit compliance. Clock drift consequences: Kerberos auth failures, split-brain in clusters, log timestamp mismatches, database replication errors, certificate validation failures.

**OP16** — Physical: bare hardware, full control, highest performance. VM: virtualized OS, hypervisor isolation, good for legacy/apps. Container: shared kernel, process isolation, lightweight, fast. Bare metal use: HPC, low-latency trading, databases requiring direct hardware access, GPU passthrough, compliance requirements.

**OP17** — UPS: battery backup, immediate power during outages, bridges to generator. Generator: long-term power, fuel-based, minutes to start. Both needed: UPS handles instantaneous transition/short outages; generator handles extended outages. ATS: detects outage, switches load to generator, switches back when utility restores.

**OP18** — Active-passive: one node handles traffic, standby takes over on failure. Active-active: all nodes handle traffic, share load, sync state. PostgreSQL HA: Pacemaker/Corosync manages virtual IP, monitors DB health, performs STONITH fencing. Use streaming replication. On failure, Pacemaker promotes standby, moves VIP, starts services. Fencing ensures old primary doesn't write.

**OP19** — 3-2-1: 3 copies, 2 media types, 1 offsite. RPO/RTO: define acceptable data loss/downtime. Types: Full (baseline), Incremental (changes since last), Differential (changes since last full). Deduplication: reduces storage, improves backup window. Media: disk (fast restore), tape (cheap offsite), cloud (scalable). Immutable: WORM storage, ransomware protection. Testing: regular restore drills, verify integrity, measure RTO/RPO. Backup vs DR: backup = data preservation; DR = comprehensive strategy (infrastructure, processes, failover) to restore operations.

**OP20** — 802.1X: port-based network access control. Roles: Supplicant (client), Authenticator (switch), Authentication Server (RADIUS). EAP-TLS vs PEAP: EAP-TLS uses client/server certs (strongest). PEAP uses server cert + username/password (easier, less secure). RADIUS: handles auth, authorization, accounting. Dynamic VLAN: RADIUS returns VLAN ID, switch assigns port. Failure: port stays unauthorized, no network access. MAB: switch uses MAC address as credential, matches against RADIUS database. For IoT/printers without 802.1X support.
