## Application Architecture

**AA1** — A monolith is a single codebase deployed as one unit with shared process, memory, and database. Microservices decompose the system into independently deployable, loosely coupled services with separate processes and databases. Microservices introduce: (1) network latency and partial failure handling, (2) distributed data consistency challenges, and (3) operational complexity (orchestration, CI/CD pipelines, distributed tracing, and service discovery).

**AA2** — Synchronous communication blocks the caller until a response is received, creating tight coupling and real-time dependencies (e.g., REST, gRPC). Asynchronous communication decouples sender and receiver; messages are queued and processed independently, improving resilience and scalability (e.g., RabbitMQ, Kafka).

**AA3** — A reverse proxy routes traffic, terminates TLS, and provides basic load balancing/WAF at L4/L7. An API Gateway adds business-layer features: rate limiting, auth/authorization, request/response transformation, analytics, and service versioning. An API Gateway can replace a reverse proxy functionally, but they are often layered: a lightweight reverse proxy (nginx/envoy) handles edge routing/SSL, while the API Gateway manages API-specific policies. Replacing entirely is possible but adds overhead and couples edge infrastructure to business logic.

**AA4** — A Saga manages distributed transactions by breaking them into local transactions with compensating actions for rollback. Choreography-based sagas use events to trigger the next step; they are decentralized and simple but hard to debug and modify. Orchestration-based sagas use a central coordinator that explicitly directs each step; they are easier to monitor, version, and modify, but introduce a coordination service that must be highly available. Use choreography for simple, stable workflows; orchestration for complex, frequently changing flows.

**AA5** — CQRS separates read and write models: commands modify state, queries read optimized projections. Event Sourcing stores state changes as an immutable event log. They are paired because CQRS reads are built by replaying events into optimized read models. This combination solves complex domain modeling, provides complete auditability/temporal queries, enables independent scaling of reads/writes, and eliminates race conditions common in traditional CRUD where reads and writes share the same schema and locking model.

**AA6** — A Circuit Breaker prevents cascading failures by failing fast when a downstream service is unhealthy. States: Closed (normal traffic), Open (failure threshold met, requests fail immediately), Half-Open (tests recovery with limited traffic). It differs from retry+backoff: retry attempts immediate recovery, while the circuit breaker stops overwhelming a failing service. Use both together: retry with exponential backoff for transient errors inside the Closed state; the circuit breaker opens when retries consistently fail, preventing resource exhaustion.

**AA7** — 
1. Shared DB/schema: Lowest cost, highest noisy-neighbor risk, complex row-level security, easiest ops.
2. Shared DB/separate schema: Moderate cost, better isolation/noisy-neighbor mitigation, moderate ops (per-schema backups/migrations).
3. Separate DB: Highest cost, maximum isolation/security, lowest noisy-neighbor risk, highest ops complexity (schema migrations, backup/restore per tenant, scaling).

**AA8** — Eventual consistency allows temporary read staleness; strong consistency guarantees immediate visibility of writes. For inventory oversell prevention: use strong consistency for stock counts. Architect with regional partitioning (each warehouse/SKU in a single authoritative DB like PostgreSQL with serializable isolation or pessimistic locking). At scale, use a reservation/hold pattern with idempotent order processing, optimistic concurrency control (version columns), and avoid cross-region synchronous writes. Reads can be eventually consistent via async replication.

**AA9** — A sidecar proxy co-locates with an app, intercepting all inbound/outbound traffic. In Istio, Envoy handles the data plane (routing, mTLS, metrics), while Istio’s control plane (Pilot, Citadel) pushes configuration via xDS. Data plane = traffic handling; control plane = configuration/management. mTLS between sidecars solves transparent encryption without app code changes, automatic certificate rotation, and service-to-service identity verification. Application-level TLS requires manual cert management, code changes, and doesn’t authenticate the service identity automatically.

**AA10** — The Strangler Fig pattern incrementally replaces functionality by routing new requests to new services while keeping the legacy system intact. Strategy: Deploy an API gateway. Identify bounded contexts. Build .NET 8 microservices for low-risk features. Route traffic via gateway to new services. Initially share the database (read-only or dual-write), then migrate data per service. Decommission old endpoints iteratively. Repeat until the monolith is fully replaced.

**AA11** — 12-Factor App methodology standardizes cloud-native apps. Six factors: (1) Codebase (one repo, many deploys), (2) Dependencies (explicitly declared/isolated), (3) Config (environment variables, separate from code), (4) Backing services (treated as attached resources), (5) Build/release/run (strictly separated stages), (6) Processes (stateless, scalable). They matter because they enable portability, automated deployments, resilience, horizontal scaling, and consistent dev/prod environments.

**AA12** — 
- Coupling: Event = loose (producer unaware of consumers); Request = tight (caller waits).
**OP4** — Use 3+ nodes for quorum. Quorum requires majority online to make decisions. Fencing (STONITH via IPMI/iDRAC) prevents split-brain. Shared storage: Ceph (recommended, distributed) or HA iSCSI/NFS. On node failure: remaining nodes maintain quorum, Ceph redistributes replicas, VMs failover via Proxmox HA, and fencing isolates the failed node to prevent data corruption.

**OP5** — VLAN trunking carries multiple VLANs over a single link. 802.1Q adds a 4-byte tag with VLAN ID to Ethernet frames. Linux config: `ip link add link eth0 name eth0.10 type vlan id 10`, assign IPs, and configure bridges if needed. Alternatively, use NetworkManager or systemd-networkd VLAN profiles.

**OP6** — RAID 1: mirror, 50% capacity, 1 drive fault. RAID 5: striping+parity, N-1 capacity, 1 drive fault, write penalty. RAID 6: striping+double parity, N-2 capacity, 2 drive fault. RAID 10: mirror+stripe, 50% capacity, 2 drive fault, high perf. RAID Z2: ZFS double parity, flexible capacity, checksums, safe rebuilds. For 6 drives + DB: RAID Z2 (4 data + 2 parity) balances capacity, 2-drive fault tolerance, and DB write performance with data integrity. RAID 10 (3 pairs) is better if raw IOPS are critical and backups are robust.

**OP7** — Internal DNS servers (Windows DNS/BIND) act as recursive resolvers. Authoritative: AD-integrated DNS for internal, external DNS for public zone. Forwarders: internal DNS forwards external queries to ISP/Cloudflare. Conditional forwarding: routes AD domain queries to AD DNS. Split-horizon: internal queries resolve to internal IPs, external to public. DNSSEC: sign external zone, publish DS at registrar. Laptop moves: DHCP assigns internal DNS; VPN client pushes DNS or uses split tunneling; AD replication ensures consistency; DNSSEC validation works transparently.

**OP8** — PKI chain: Root CA (offline, self-signed, long validity) → Subordinate/Issuing CA (online, signs certs) → End-entity (servers/users). Internal PKI: Root in HSM/air-gapped, subordinate issues certs via AD CS templates with auto-enrollment. CRL = periodic revocation list; OCSP = real-time status (stapling improves perf). Compromised subordinate: revoke, reissue, limited blast radius. Compromised root: catastrophic, requires trusting new root, revoking all certs, massive re-issuance.

**OP9** — MPLS: high reliability/low latency, expensive, carrier-managed. IPsec VPN: cheap, internet-based, variable latency, manual. SD-WAN: software-defined, app-aware routing, QoS, centralized management, cost-effective. WireGuard mesh: modern crypto, fast, simple, lacks enterprise management/SLA. Recommendation: SD-WAN. Optimizes VoIP latency/QoS, balances cost/reliability, and provides centralized policy management superior to IPsec/WireGuard for enterprise scale.

**OP10** — iDRAC (Dell), iLO (HPE), IPMI: out-of-band management interfaces for remote power control, console access, and hardware monitoring. Critical because they allow recovery when OS/network fails. Internet exposure: high risk. Default credentials, outdated firmware, and known CVEs lead to full server compromise, ransomware, or data theft. Must be on isolated management networks, never exposed to the internet.

**OP11** — LVM: traditional volume manager, fixed volumes, COW snapshots that consume space. LVM-Thin: overprovisions storage, instant/space-efficient snapshots, but performance can degrade and recovery is complex. ZFS: filesystem+volume manager, COW, checksums, self-healing, instant/recursive snapshots. Use LVM for legacy/simple workloads, LVM-Thin for dev/test overprovisioning, ZFS for data integrity, backups, and modern Linux. Snapshots: LVM = COW, space grows; LVM-Thin = instant, thin-provisioned; ZFS = instant, immutable, recursive, space-efficient.

**OP12** — Design a 2-site stretch cluster: 2 nodes per site + 1 quorum device (tiebreaker). Ceph CRUSH: map OSDs across sites, ensure replicas spread (e.g., `rule replicated { rule replica { ... crush-item site1 ... crush-item site2 ... } }`). Monitors: 1 per site + tiebreaker, or 3 monitors with quorum device. Network latency: <5ms ideal, <10ms acceptable. Split-brain: without tiebreaker, equal node counts = no quorum = both sites stop writing. Tiebreaker breaks deadlock, ensuring one site maintains write access.

**OP13** — DHCP assigns IPs/config dynamically. DORA: Discover, Offer, Request, Acknowledge. If DHCP server unavailable: client retries, eventually falls back to APIPA (169.254.x.x) if lease expires. When lease expires: client tries unicast renewal, then broadcast. If server unavailable, DORA repeats. If completely unavailable, client gets APIPA, resulting in limited/no connectivity.

**OP14** — Unmanaged switches are plug-and-play with no configuration. Managed switches support VLANs, QoS, STP, port security, SNMP, ACLs, and link aggregation. Enterprise importance: segmentation (VLANs), traffic prioritization (QoS for VoIP), loop prevention (STP), monitoring, security policies, and scalable network design.

**OP15** — NTP synchronizes clocks over networks. Critical for Kerberos auth, log/forensic timelines, distributed DB consistency, cluster coordination, and certificate validation. Clock drift consequences: Kerberos auth failures, corrupted log timelines, database replication lag/errors, cluster split-brain, and certificate validation failures.

**OP16** — Physical servers: bare hardware, full control, highest performance. VMs: virtualized OS, hardware abstraction, strong isolation. Containers: shared kernel, lightweight, app-level isolation. Bare metal is used for HPC, low-latency trading, GPU-intensive workloads, databases requiring direct storage access, compliance mandates, or maximum IOPS/throughput.

**OP17** — UPS: battery-backed, provides immediate power during outages, bridges gap to generator. Generator: fuel-based, provides long-term power, takes seconds/minutes to start. Both are needed: UPS handles instantaneous switchover and protects against short outages; generator handles extended outages. ATS (Automatic Transfer Switch): detects utility failure, safely transfers load to UPS/generator, and manages return to utility.

**OP18** — Active-passive: one node handles traffic, standby takes over on failure (simple, no split-brain). Active-active: both handle traffic, sync data (higher utilization, complex sync). PostgreSQL HA with Pacemaker/Corosync: Pacemaker manages virtual IP, monitors health, triggers failover. STONITH (fencing) powers off failed nodes to prevent split-brain. Patroni or repmgr typically manages PostgreSQL replication alongside Pacemaker. Failover: VIP moves to standby, replication catches up, clients reconnect.

**OP19** — 3-2-1 rule: 3 copies, 2 media types, 1 offsite. RPO/RTO define acceptable data loss and downtime. Backup types: full (baseline), incremental (changes since last), differential (changes since last full). Deduplication reduces storage and backup windows. Media: disk (fast restore), tape (cheap long-term), cloud (offsite/scalable). Immutable backups: WORM storage prevents ransomware deletion. Testing: regular restore drills, verify integrity, measure RTO/RPO. Backup = data preservation; Disaster Recovery = full process (infrastructure, data, apps, procedures) to resume operations.

**OP20** — 802.1X: port-based NAC. Roles: Supplicant (client), Authenticator (switch/AP), Authentication Server (RADIUS). EAP: EAP-TLS (cert-based, mutual auth, secure), PEAP (username/password, tunneled, common). RADIUS handles AAA. Dynamic VLAN: RADIUS returns VLAN ID, switch assigns port. Failure: port stays unauthorized, no access. MAB: uses MAC address as credential, bypasses 802.1X for IoT/printers, less secure, fallback method.
